Month	KPI	Direction	Plant	UOM	Achieved	Target
Oct-25	Quality Index	LOWER_IS_BETTER	Plant-05	%	1.85%	2.00%
Oct-25	Quality Index	LOWER_IS_BETTER	Plant-06	%	1.86%	2.00%
Oct-25	OTD	HIGHER_IS_BETTER	Plant-05	%	95.56%	95.00%
Oct-25	OTD	HIGHER_IS_BETTER	Plant-06	%	96.67%	95.00%
Oct-25	YMR	HIGHER_IS_BETTER	Plant-05	%	94.76%	94.00%
Oct-25	YMR	HIGHER_IS_BETTER	Plant-06	%	96.78%	94.00%
Oct-25	Actual OEE	HIGHER_IS_BETTER	Plant-05	%	84.24%	83.00%
Oct-25	Actual OEE	HIGHER_IS_BETTER	Plant-06	%	70.95%	74.00%
Oct-25	EHS	LOWER_IS_BETTER	Plant-05	Num	0	0
Oct-25	EHS	LOWER_IS_BETTER	Plant-06	Num	0	0
Oct-25	FGS	HIGHER_IS_BETTER	Plant-05	Num	26825	37000
Oct-25	FGS	HIGHER_IS_BETTER	Plant-06	Num	16357	17500
Oct-25	WIP	LOWER_IS_BETTER	Plant-05	Num	2.96	3.50
Oct-25	WIP	LOWER_IS_BETTER	Plant-06	Num	1.47	2.00
Nov-25	Customer Complaints	LOWER_IS_BETTER	Plant-05	Num	0	0
Nov-25	Customer Complaints	LOWER_IS_BETTER	Plant-06	Num	0	0
Nov-25	MMR	LOWER_IS_BETTER	Plant-05	Num	1.64	1.33
Nov-25	MMR	LOWER_IS_BETTER	Plant-06	Num	1.10	1.19
Nov-25	Cost/Dzn (Rs.)	LOWER_IS_BETTER	Plant-05	Num	329	336
Nov-25	Cost/Dzn (Rs.)	LOWER_IS_BETTER	Plant-06	Num	272	331
Nov-25	Quality Index	LOWER_IS_BETTER	Plant-05	%	1.74%	2.00%
Nov-25	Quality Index	LOWER_IS_BETTER	Plant-06	%	1.88%	2.00%
Nov-25	OTD	HIGHER_IS_BETTER	Plant-05	%	98.46%	95.00%
Nov-25	OTD	HIGHER_IS_BETTER	Plant-06	%	99.32%	95.00%
Nov-25	YMR	HIGHER_IS_BETTER	Plant-05	%	94.70%	94.00%
