Month	MCATEG_DESC	Plant-05	Plant-06
Feb-26	POWER SHORTAGE	0.05%	0.31%
Feb-26	TRIAL RUN	0.01%	
Feb-26	PLANT FAILURE		0.33%
YTD	MACHINE BREAKDOWN	9.76%	10.52%
YTD	ORDERS NOT AVAILABLE	4.04%	9.26%
YTD	PRODUCTION ORDER NOT AVAILABLE	0.59%	0.90%
YTD	YARN UNAVAILABILITY/SHORTAGE	1.86%	3.94%
YTD	PACKAGING UNAVAILABILITY	0.03%	0.88%
YTD	CYLINDER CHANGES / CONVERSIONS	0.01%	0.00%
YTD	EXTERNAL FACTOR	0.05%	0.36%
YTD	HOLIDAY	1.69%	1.81%
YTD	MACHINES ON SAMPLING	0.01%	0.04%
YTD	OTHERS	0.31%	0.65%
YTD	POWER SHORTAGE	0.12%	0.30%
YTD	PRODUCT DESIGN ISSUES	0.03%	0.00%
YTD	PRODUCT QUALITY	0.01%	
YTD	TRIAL RUN	0.00%	0.00%
YTD	CAPACITY CONSTRAINT DOWNSTREAM		0.00%
YTD	MACHINES SETUP		0.17%
YTD	PLANT FAILURE		0.45%
